abscissa	abscissas	abscissae
amoeba	amoebas	amoebae
anathema	anathemas	anathemata
antenna	antennas	antennae
apex	apexes	apices
aphelion	aphelions	aphelia
aquarium	aquariums	aquaria
arboretum	arboretums	arboreta
asyndeton	asyndetons	asyndeta
aurora	auroras	aurorae
bema	bemas	bemata
cactus	cactuses	cacti
campus	campuses	campi
carcinoma	carcinomas	carcinomata
charisma	charismas	charismata
chateau	chateaus	chateaux
cherub	cherubs	cherubim
compendium	compendiums	compendia
consortium	consortiums	consortia
corpus	corpuses	corpora
cortex	cortexes	cortices
cranium	craniums	crania
curriculum	curriculums	curricula
deton	detons	deta
dictum	dictums	dicta
diploma	diplomas	diplomata
dogma	dogmas	dogmata
drama	dramas	dramata
edema	edemas	edemata
emporium	emporiums	emporia
encomium	encomiums	encomia
enema	enemas	enemata
enigma	enigmas	enigmata
fauna	faunas	faunae
flora	floras	florae
focus	focuses	foci
formula	formulas	formulae
fungus	funguses	fungi
ganglion	ganglions	ganglia
genius	geniuses	genii
gumma	gummas	gummata
gymnasium	gymnasiums	gymnasia
hippopotamus	hippopotamuses	hippopotami
honorarium	honorariums	honoraria
hydra	hydras	hydrae
hyperbaton	hyperbatons	hyperbata
hyperbola	hyperbolas	hyperbolae
interregnum	interregnums	interregna
lacuna	lacunas	lacunae
latex	latexes	latices
lemma	lemmas	lemmata
lustrum	lustrums	lustra
lymphoma	lymphomas	lymphomata
magma	magmas	magmata
maximum	maximums	maxima
medium	mediums	media
medusa	medusas	medusae
melisma	melismas	melismata
memorandum	memorandums	memoranda
miasma	miasmas	miasmata
millennium	millenniums	millennia
minimum	minimums	minima
momentum	momentums	momenta
nebula	nebulas	nebulae
nexus	nexuses	nexus
nova	novas	novae
nucleolus	nucleoluses	nucleoli
octopus	octopuses	octopi
oedema	oedemas	oedemata
optimum	optimums	optima
organon	organons	organa
oxymoron	oxymorons	oxymora
parabola	parabolas	parabolae
perihelion	perihelions	perihelia
persona	personas	personae
phylum	phylums	phyla
plateau	plateaus	plateaux
platypus	platypuses	platypodes
pontifex	pontifexes	pontifices
pragma	pragmas	pragmata
premium	premiums	premia
quantum	quantums	quanta
radius	radiuses	radii
rostrum	rostrums	rostra
sarcoma	sarcomas	sarcomata
schema	schemas	schemata
seraph	seraphs	seraphim
simplex	simplexes	simplices
soma	somas	somata
spectrum	spectrums	spectra
speculum	speculums	specula
stadium	stadiums	stadia
stylus	styluses	styli
syllabus	syllabuses	syllabi
tableau	tableaus	tableaux
torus	toruses	tori
trauma	traumas	traumata
trapezium	trapeziums	trapezia
ultimatum	ultimatums	ultimata
umbra	umbras	umbrae
uterus	uteruses	uteri
vacuum	vacuums	vacua
velum	velums	vela
vita	vitas	vitae
vortex	vortexes	vortices
