abacus	abacuses
abortus	abortuses
abscissa	abscissas
abuse	abuses
acanthus	acanthuses
acephalobrachius	acephalobrachiuses
ache	aches
acropolis	acropolises
act	acts
addendum	addenda
Addie	Addies
adenitis	adenitises
adenovirus	adenoviruses
aegis	aegises
aerie	aeries
afflatus	afflatuses
aficionado	aficionados
afreet	afreeti
afrit	afriti
agapanthus	agapanthuses
agenda	agendas
agendum	agenda
agent-provocateur	agents-provocateurs
Aggie	Aggies
aggro	aggros
aide-de-camp	aides-de-camp
ailanthus	ailanthuses
airbus	airbuses
Alabaman	Alabamans
albino	albinos
alfamovirus	alfamoviruses
alga	algae
alias	aliases
alkermes	alkermeses
allegro	allegros
Allie	Allies
allosaurus	allosauruses
aloe	aloes
alphacoronavirus	alphacoronaviruses
alphaherpesvirus	alphaherpesviruses
alphavirus	alphaviruses
alto	altos
aluminium	aluminium
aluminum	aluminum
alumna	alumnae
alumnus	alumni
alveolus	alveoli
am	are
amanuensis	amanuenses
Amie	Amies
amniocentesis	amniocenteses
amoeba	amoebas
amphioxus	amphioxuses
amplexus	amplexuses
analysis	analyses
ananas	ananases
anathema	anathemas
Andromache	Andromaches
anestrus	anestruses
angelus	angeluses
Angie	Angies
animus	animuses
ankylosaurus	ankylosauruses
annex	annexes
annexe	annexes
Annie	Annies
Annmarie	Annmaries
annulus	annuluses
anoestrus	anoestruses
Antananarivo	Antananarivos
antenna	antennas
antics	anticses
antiretrovirus	antiretroviruses
antithesis	antitheses
antivirus	antiviruses
anus	anuses
Apache	Apaches
apatosaurus	apatosauruses
apex	apexes
aphelion	aphelions
aphthovirus	aphthoviruses
apotheosis	apotheoses
apparatus	apparatuses
appendicitis	appendicitises
appendix	appendices
aquabirnavirus	aquabirnaviruses
aquareovirus	aquareoviruses
aquarium	aquariums
arboretum	arboretums
arborvirus	arborviruses
arbovirus	arboviruses
arbutus	arbutuses
Archie	Archies
archipelago	archipelagos
arcus	arcuses
are	is
arenavirus	arenaviruses
argus	arguses
aries	arieses
armadillo	armadillos
arquebus	arquebuses
arras	arrases
arteriosclerosis	arterioscleroses
arteritis	arteritises
arterivirus	arteriviruses
Artie	Arties
ascovirus	ascoviruses
asparagus	asparaguses
astragalus	astragaluses
astrovirus	astroviruses
asyndeton	asyndetons
atadenovirus	atadenoviruses
ataman	atamans
atherosclerosis	atheroscleroses
atlas	atlases
atman	atmas
attorney general	attorneys general
attorney-general	attorneys-general
aureusvirus	aureusviruses
aurochs	aurochses
aurora	auroras
Aussie	Aussies
auto	autos
autobus	autobuses
automaton	automata
avalanche	avalanches
avens	avenses
aviadenovirus	aviadenoviruses
avibirnavirus	avibirnaviruses
avihepadnavirus	avihepadnaviruses
avipoxvirus	avipoxviruses
avocado	avocados
axis	axes
baas	baases
bacillus	bacilli
backache	backaches
backhoe	backhoes
bacterium	bacteria
baculovirus	baculoviruses
badnavirus	badnaviruses
baggie	baggies
Bahaman	Bahamans
balanus	balanuses
balas	balases
Bamako	Bamakos
Barbie	Barbies
Barquisimeto	Barquisimetos
Barrie	Barries
Basie	Basies
basis	bases
basso	bassos
bathos	bathoses
beau	beaux
beau-geste	beaux-gestes
beef	beefs
begomovirus	begomoviruses
bel-homme	beaux-hommes
belie	belies
belle-epoque	belles-epoques
bellyache	bellyaches
bema	bemas
Bennie	Bennies
benthos	benthoses
Bernie	Bernies
Bertie	Berties
Bessie	Bessies
betacoronavirus	betacoronaviruses
betaherpesvirus	betaherpesviruses
betanodavirus	betanodaviruses
Betelgeuse	Betelgeuses
Bettie	Betties
bias	biases
biggie	biggies
bildungsroman	bildungsromane
bill-of-attainder	bills-of-attainder
Billie	Billies
bimbo	bimbos
bingo	bingos
binoculus	binoculuses
biogas	biogases
birdie	birdies
Biro	Biros
biscotto	biscotti
bison	bison
bivalve	bivalves
blame	blames
Blanche	Blanches
blewits	blewitses
blinks	blinkses
Blondie	Blondies
blouse	blouses
Bobbie	Bobbies
bocavirus	bocaviruses
bogie	bogies
bolero	boleros
Bolshoi	Bolshois
bolus	boluses
Bolzano	Bolzanos
bon-mot	bons-mots
bon-vivant	bons-vivants
bongo	bongos
bonnie	bonnies
Bonnie	Bonnies
bonus	bonuses
boogie	boogies
bookie	bookies
boreas	boreases
bornavirus	bornaviruses
Boto	Botos
botulinus	botulinuses
bouillabaisse	bouillabaisses
bourgeoisie	bourgeoisies
Bowie	Bowies
boy	boys
Brandie	Brandies
Brie	Bries
bromovirus	bromoviruses
bronchitis	bronchitises
bronchus	bronchi
brontosaurus	brontosauruses
brother	brothers
brother-in-law	brothers-in-law
brownie	brownies
Brownie	Brownies
budgie	budgies
buffalo	buffaloes
buoy	buoys
bureau	bureaus
Burman	Burmans
burro	burros
bursitis	bursitises
bus	buses
buzz	buzzes
bymovirus	bymoviruses
byssus	byssuses
cache	caches
cactus	cactuses
caddie	caddies
caddis	caddises
cafe	cafes
caiman	caimans
Cairo	Cairos
calamus	calamuses
calcivirus	calciviruses
calculus	calculi
calicivirus	caliciviruses
Callie	Callies
callus	calluses
calorie	calories
camaraderie	camaraderies
camas	camases
campus	campuses
candelabrum	candelabra
cannabis	cannabises
canoe	canoes
canto	cantos
cantus	cantuses
canvas	canvases
cappuccino	cappuccinos
capripoxvirus	capripoxviruses
carcinoma	carcinomas
cardiovirus	cardioviruses
carditis	carditises
cargo	cargoes
caribou	caribous
carlavirus	carlaviruses
carmen	carmina
carmovirus	carmoviruses
Carnegie	Carnegies
carouse	carouses
Carrie	Carries
